playerID,name,position,age,PER,usage%,gp,yr,draftyr
johnsjo01,John Johnson,SMALL FORWARD,26,16.8,0.0,69,1974,1971
laceysa01,Sam Lacey,CENTER,25,17.5,0.0,79,1974,1971
laniebo01,Bob Lanier,CENTER,29,24.8,25.7,63,1978,1971
maravpe01,Pete Maravich,SHOOTING GUARD,28,20.5,0.0,62,1976,1971
mcmilji01,Jim McMillian,SMALL FORWARD,25,15.6,0.0,82,1974,1971
murphca01,Calvin Murphy,POINT GUARD,25,20.0,0.0,81,1974,1971
perrycu01,Curtis Perry,POWER FORWARD,26,17.1,0.0,79,1975,1972
petrige01,Geoff Petrie,POINT GUARD,25,17.4,0.0,73,1974,1971
tomjaru01,Rudy Tomjanovich,SMALL FORWARD,25,20.5,0.0,80,1974,1971
warneco01,Cornell Warner,CENTER,24,13.15,0.0,72,1973,1971
brownfr01,Fred Brown,SHOOTING GUARD,27,20.4,0.0,76,1976,1973
carrau01,Austin Carr,SHOOTING GUARD,26,18.9,0.0,41,1975,1972
cheniph01,Phil Chenier,SHOOTING GUARD,24,17.7,0.0,77,1975,1972
cleamji01,Jim Cleamons,POINT GUARD,26,14.9,0.0,82,1976,1973
meminde01,Dean Meminger,POINT GUARD,26,13.9,0.0,80,1975,1972
mengejo01,John Mengelt,SHOOTING GUARD,26,19.4,0.0,67,1976,1972
newlimi01,Mike Newlin,SHOOTING GUARD,31,17.7,26.8,78,1980,1972
norwowi01,Willie Norwood,SMALL FORWARD,25,15.8,0.0,79,1973,1972
porteho01,Howard Porter,POWER FORWARD,24,15.7,0.0,43,1973,1972
raycl01,Clifford Ray,CENTER,24,17.4,0.0,73,1973,1972
rowecu01,Curtis Rowe,POWER FORWARD,23,15.6,0.0,81,1973,1972
scottch01,Charlie Scott,POINT GUARD,24,19.0,0.0,81,1973,1973
smithel01,Elmore Smith,CENTER,28,19.9,21.6,81,1978,1972
smithra01,Randy Smith,SHOOTING GUARD,29,19.1,26.8,82,1978,1972
steella01,Larry Steele,SHOOTING GUARD,27,16.3,0.0,81,1977,1972
trappge01,George Trapp,POWER FORWARD,27,15.6,0.0,76,1976,1972
